cell	count(cell)	drug	count(drug)	count(cell,drug)	ratio(by drug)	ratio(bycell)
CAL-120	158	ALK_IGFR	158	6	0.0379746835443038	0.0379746835443038
DU-4475	125	ALK_IGFR	158	7	0.0443037974683544	0.056
HCC1954	50	ALK_IGFR	158	0	0	0
NCI-H2085	90	ALK_IGFR	158	0	0	0
HCC1937	139	ALK_IGFR	158	7	0.0443037974683544	0.0503597122302158
LS-513	123	ALK_IGFR	158	0	0	0
HCC1569	52	ALK_IGFR	158	0	0	0
NCI-H1975	91	ALK_IGFR	158	0	0	0
MFM-223	138	ALK_IGFR	158	7	0.0443037974683544	0.0507246376811594
Calu-3	57	ALK_IGFR	158	0	0	0
BFTC-905	186	ALK_IGFR	158	0	0	0
J82	195	ALK_IGFR	158	0	0	0
C32	76	ALK_IGFR	158	0	0	0
T47D	365	ALK_IGFR	158	0	0	0
NCI-H2228	85	ALK_IGFR	158	0	0	0
A549	87	ALK_IGFR	158	0	0	0
BT-474	435	ALK_IGFR	158	0	0	0
NCI-H3122	70	ALK_IGFR	158	0	0	0
MDA-MB-157	190	ALK_IGFR	158	7	0.0443037974683544	0.0368421052631579
SW900	87	ALK_IGFR	158	0	0	0
UACC-812	340	ALK_IGFR	158	0	0	0
KU-19-19	68	ALK_IGFR	158	0	0	0
BT-20	192	ALK_IGFR	158	7	0.0443037974683544	0.0364583333333333
MDA-MB-436	187	ALK_IGFR	158	7	0.0443037974683544	0.0374331550802139
RKO	63	ALK_IGFR	158	0	0	0
M14	129	ALK_IGFR	158	6	0.0379746835443038	0.0465116279069767
T-24	188	ALK_IGFR	158	0	0	0
NCI-H2291	89	ALK_IGFR	158	0	0	0
SW837	104	ALK_IGFR	158	0	0	0
MDA-MB-415	52	ALK_IGFR	158	0	0	0
VCaP	29	ALK_IGFR	158	0	0	0
MDA-MB-453	188	ALK_IGFR	158	7	0.0443037974683544	0.0372340425531915
HCC1143	136	ALK_IGFR	158	7	0.0443037974683544	0.0514705882352941
HCC70	180	ALK_IGFR	158	6	0.0379746835443038	0.0333333333333333
CAL-51	140	ALK_IGFR	158	7	0.0443037974683544	0.05
22RV1	26	ALK_IGFR	158	0	0	0
HCC1806	140	ALK_IGFR	158	7	0.0443037974683544	0.05
HT-1197	168	ALK_IGFR	158	0	0	0
KATOIII	27	WEE1	68	0	0	0
Hs-578-T	127	WEE1	68	0	0	0
CAMA-1	427	WEE1	68	4	0.0588235294117647	0.00936768149882904
MDA-MB-361	451	WEE1	68	11	0.161764705882353	0.024390243902439
NCI-H23	85	WEE1	68	0	0	0
SW780	181	WEE1	68	0	0	0
SW48	124	WEE1	68	0	0	0
MDA-MB-175-VII	88	WEE1	68	1	0.0147058823529412	0.0113636363636364
HT-1376	170	WEE1	68	0	0	0
CAL-148	138	WEE1	68	0	0	0
KMS-11	19	WEE1	68	0	0	0
VM-CUB-1	128	WEE1	68	0	0	0
DMS-114	110	WEE1	68	0	0	0
SW948	95	WEE1	68	0	0	0
HCC1187	189	WEE1	68	0	0	0
NCI-H520	111	WEE1	68	0	0	0
HCC38	137	WEE1	68	0	0	0
MDA-MB-231	140	WEE1	68	0	0	0
NCI-H226	79	WEE1	68	0	0	0
SW620	106	WEE1	68	0	0	0
HCC1500	375	WEE1	68	11	0.161764705882353	0.0293333333333333
MDA-MB-468	181	WEE1	68	0	0	0
NCI-H358	91	WEE1	68	0	0	0
HT-29	84	WEE1	68	0	0	0
EVSA-T	35	WEE1	68	0	0	0
647-V	191	WEE1	68	0	0	0
NCI-H747	110	WEE1	68	0	0	0
NCI-H1437	89	WEE1	68	0	0	0
HCC1428	136	WEE1	68	0	0	0
NCI-H1703	118	WEE1	68	0	0	0
HCC1419	262	WEE1	68	2	0.0294117647058824	0.00763358778625954
NCI-H838	84	WEE1	68	0	0	0
NCI-H2170	77	WEE1	68	0	0	0
HCT-116	63	WEE1	68	0	0	0
NCI-H1563	65	WEE1	68	0	0	0
NCI-H1793	91	WEE1	68	0	0	0
MCF7	404	WEE1	68	10	0.147058823529412	0.0247524752475248
HCC1395	183	WEE1	68	0	0	0
NCI-H1299	91	WEE1	68	0	0	0
COLO-205	123	WEE1	68	0	0	0
UM-UC-3	196	WEE1	68	0	0	0
NCI-SNU-16	26	WEE1	68	0	0	0
BT-549	139	WEE1	68	0	0	0
NCI-H522	88	WEE1	68	0	0	0
Calu-6	87	WEE1	68	0	0	0
TCCSUP	193	WEE1	68	0	0	0
RT4	27	WEE1	68	0	0	0
CAL-120	158	WEE1	68	0	0	0
DU-4475	125	WEE1	68	0	0	0
HCC1954	50	WEE1	68	0	0	0
NCI-H2085	90	WEE1	68	0	0	0
HCC1937	139	WEE1	68	0	0	0
LS-513	123	WEE1	68	0	0	0
HCC1569	52	WEE1	68	0	0	0
NCI-H1975	91	WEE1	68	0	0	0
MFM-223	138	WEE1	68	0	0	0
Calu-3	57	WEE1	68	0	0	0
BFTC-905	186	WEE1	68	0	0	0
J82	195	WEE1	68	0	0	0
C32	76	WEE1	68	0	0	0
T47D	365	WEE1	68	7	0.102941176470588	0.0191780821917808
NCI-H2228	85	WEE1	68	0	0	0
A549	87	WEE1	68	0	0	0
BT-474	435	WEE1	68	11	0.161764705882353	0.0252873563218391
NCI-H3122	70	WEE1	68	0	0	0
MDA-MB-157	190	WEE1	68	0	0	0
SW900	87	WEE1	68	0	0	0
UACC-812	340	WEE1	68	11	0.161764705882353	0.0323529411764706
KU-19-19	68	WEE1	68	0	0	0
BT-20	192	WEE1	68	0	0	0
MDA-MB-436	187	WEE1	68	0	0	0
RKO	63	WEE1	68	0	0	0
M14	129	WEE1	68	0	0	0
T-24	188	WEE1	68	0	0	0
NCI-H2291	89	WEE1	68	0	0	0
SW837	104	WEE1	68	0	0	0
MDA-MB-415	52	WEE1	68	0	0	0
VCaP	29	WEE1	68	0	0	0
MDA-MB-453	188	WEE1	68	0	0	0
HCC1143	136	WEE1	68	0	0	0
HCC70	180	WEE1	68	0	0	0
CAL-51	140	WEE1	68	0	0	0
22RV1	26	WEE1	68	0	0	0
HCC1806	140	WEE1	68	0	0	0
HT-1197	168	WEE1	68	0	0	0
KATOIII	27	PIK3C	1097	0	0	0
Hs-578-T	127	PIK3C	1097	19	0.0173199635369189	0.149606299212598
CAMA-1	427	PIK3C	1097	33	0.0300820419325433	0.0772833723653396
MDA-MB-361	451	PIK3C	1097	13	0.0118505013673655	0.0288248337028825
NCI-H23	85	PIK3C	1097	7	0.00638103919781222	0.0823529411764706
SW780	181	PIK3C	1097	18	0.01640838650866	0.0994475138121547
SW48	124	PIK3C	1097	9	0.00820419325432999	0.0725806451612903
MDA-MB-175-VII	88	PIK3C	1097	0	0	0
HT-1376	170	PIK3C	1097	19	0.0173199635369189	0.111764705882353
CAL-148	138	PIK3C	1097	20	0.0182315405651778	0.144927536231884
KMS-11	19	PIK3C	1097	0	0	0
VM-CUB-1	128	PIK3C	1097	17	0.0154968094804011	0.1328125
DMS-114	110	PIK3C	1097	6	0.00546946216955333	0.0545454545454545
SW948	95	PIK3C	1097	5	0.00455788514129444	0.0526315789473684
HCC1187	189	PIK3C	1097	34	0.0309936189608022	0.17989417989418
NCI-H520	111	PIK3C	1097	7	0.00638103919781222	0.0630630630630631
HCC38	137	PIK3C	1097	18	0.01640838650866	0.131386861313869
MDA-MB-231	140	PIK3C	1097	20	0.0182315405651778	0.142857142857143
NCI-H226	79	PIK3C	1097	6	0.00546946216955333	0.0759493670886076
SW620	106	PIK3C	1097	8	0.0072926162260711	0.0754716981132075
HCC1500	375	PIK3C	1097	0	0	0
MDA-MB-468	181	PIK3C	1097	32	0.0291704649042844	0.176795580110497
NCI-H358	91	PIK3C	1097	7	0.00638103919781222	0.0769230769230769
HT-29	84	PIK3C	1097	5	0.00455788514129444	0.0595238095238095
EVSA-T	35	PIK3C	1097	10	0.00911577028258888	0.285714285714286
647-V	191	PIK3C	1097	21	0.0191431175934366	0.109947643979058
NCI-H747	110	PIK3C	1097	9	0.00820419325432999	0.0818181818181818
NCI-H1437	89	PIK3C	1097	7	0.00638103919781222	0.0786516853932584
HCC1428	136	PIK3C	1097	20	0.0182315405651778	0.147058823529412
NCI-H1703	118	PIK3C	1097	7	0.00638103919781222	0.0593220338983051
HCC1419	262	PIK3C	1097	13	0.0118505013673655	0.049618320610687
NCI-H838	84	PIK3C	1097	7	0.00638103919781222	0.0833333333333333
NCI-H2170	77	PIK3C	1097	7	0.00638103919781222	0.0909090909090909
HCT-116	63	PIK3C	1097	6	0.00546946216955333	0.0952380952380952
NCI-H1563	65	PIK3C	1097	6	0.00546946216955333	0.0923076923076923
NCI-H1793	91	PIK3C	1097	7	0.00638103919781222	0.0769230769230769
MCF7	404	PIK3C	1097	10	0.00911577028258888	0.0247524752475248
HCC1395	183	PIK3C	1097	30	0.0273473108477666	0.163934426229508
NCI-H1299	91	PIK3C	1097	7	0.00638103919781222	0.0769230769230769
COLO-205	123	PIK3C	1097	9	0.00820419325432999	0.0731707317073171
UM-UC-3	196	PIK3C	1097	21	0.0191431175934366	0.107142857142857
NCI-SNU-16	26	PIK3C	1097	0	0	0
BT-549	139	PIK3C	1097	20	0.0182315405651778	0.143884892086331
NCI-H522	88	PIK3C	1097	7	0.00638103919781222	0.0795454545454545
Calu-6	87	PIK3C	1097	7	0.00638103919781222	0.0804597701149425
TCCSUP	193	PIK3C	1097	21	0.0191431175934366	0.10880829015544
RT4	27	PIK3C	1097	0	0	0
CAL-120	158	PIK3C	1097	17	0.0154968094804011	0.107594936708861
DU-4475	125	PIK3C	1097	17	0.0154968094804011	0.136
HCC1954	50	PIK3C	1097	12	0.0109389243391067	0.24
NCI-H2085	90	PIK3C	1097	7	0.00638103919781222	0.0777777777777778
HCC1937	139	PIK3C	1097	19	0.0173199635369189	0.136690647482014
LS-513	123	PIK3C	1097	9	0.00820419325432999	0.0731707317073171
HCC1569	52	PIK3C	1097	13	0.0118505013673655	0.25
NCI-H1975	91	PIK3C	1097	7	0.00638103919781222	0.0769230769230769
MFM-223	138	PIK3C	1097	20	0.0182315405651778	0.144927536231884
Calu-3	57	PIK3C	1097	5	0.00455788514129444	0.087719298245614
BFTC-905	186	PIK3C	1097	20	0.0182315405651778	0.10752688172043
J82	195	PIK3C	1097	21	0.0191431175934366	0.107692307692308
C32	76	PIK3C	1097	5	0.00455788514129444	0.0657894736842105
T47D	365	PIK3C	1097	13	0.0118505013673655	0.0356164383561644
NCI-H2228	85	PIK3C	1097	7	0.00638103919781222	0.0823529411764706
A549	87	PIK3C	1097	7	0.00638103919781222	0.0804597701149425
BT-474	435	PIK3C	1097	13	0.0118505013673655	0.0298850574712644
NCI-H3122	70	PIK3C	1097	7	0.00638103919781222	0.1
MDA-MB-157	190	PIK3C	1097	32	0.0291704649042844	0.168421052631579
SW900	87	PIK3C	1097	7	0.00638103919781222	0.0804597701149425
UACC-812	340	PIK3C	1097	0	0	0
KU-19-19	68	PIK3C	1097	9	0.00820419325432999	0.132352941176471
BT-20	192	PIK3C	1097	33	0.0300820419325433	0.171875
MDA-MB-436	187	PIK3C	1097	32	0.0291704649042844	0.171122994652406
RKO	63	PIK3C	1097	4	0.00364630811303555	0.0634920634920635
M14	129	PIK3C	1097	19	0.0173199635369189	0.147286821705426
T-24	188	PIK3C	1097	21	0.0191431175934366	0.111702127659574
NCI-H2291	89	PIK3C	1097	7	0.00638103919781222	0.0786516853932584
SW837	104	PIK3C	1097	6	0.00546946216955333	0.0576923076923077
MDA-MB-415	52	PIK3C	1097	13	0.0118505013673655	0.25
VCaP	29	PIK3C	1097	0	0	0
MDA-MB-453	188	PIK3C	1097	32	0.0291704649042844	0.170212765957447
HCC1143	136	PIK3C	1097	19	0.0173199635369189	0.139705882352941
HCC70	180	PIK3C	1097	30	0.0273473108477666	0.166666666666667
CAL-51	140	PIK3C	1097	20	0.0182315405651778	0.142857142857143
22RV1	26	PIK3C	1097	0	0	0
HCC1806	140	PIK3C	1097	20	0.0182315405651778	0.142857142857143
HT-1197	168	PIK3C	1097	19	0.0173199635369189	0.113095238095238
KATOIII	27	VEGF	8	1	0.125	0.037037037037037
Hs-578-T	127	VEGF	8	0	0	0
CAMA-1	427	VEGF	8	0	0	0
MDA-MB-361	451	VEGF	8	0	0	0
NCI-H23	85	VEGF	8	0	0	0
SW780	181	VEGF	8	0	0	0
SW48	124	VEGF	8	0	0	0
MDA-MB-175-VII	88	VEGF	8	0	0	0
HT-1376	170	VEGF	8	0	0	0
CAL-148	138	VEGF	8	0	0	0
KMS-11	19	VEGF	8	1	0.125	0.0526315789473684
VM-CUB-1	128	VEGF	8	0	0	0
DMS-114	110	VEGF	8	1	0.125	0.00909090909090909
SW948	95	VEGF	8	0	0	0
HCC1187	189	VEGF	8	0	0	0
NCI-H520	111	VEGF	8	1	0.125	0.00900900900900901
HCC38	137	VEGF	8	0	0	0
MDA-MB-231	140	VEGF	8	0	0	0
NCI-H226	79	VEGF	8	0	0	0
SW620	106	VEGF	8	0	0	0
HCC1500	375	VEGF	8	0	0	0
MDA-MB-468	181	VEGF	8	0	0	0
NCI-H358	91	VEGF	8	0	0	0
HT-29	84	VEGF	8	0	0	0
EVSA-T	35	VEGF	8	0	0	0
647-V	191	VEGF	8	0	0	0
NCI-H747	110	VEGF	8	0	0	0
NCI-H1437	89	VEGF	8	0	0	0
HCC1428	136	VEGF	8	0	0	0
NCI-H1703	118	VEGF	8	1	0.125	0.00847457627118644
HCC1419	262	VEGF	8	0	0	0
NCI-H838	84	VEGF	8	0	0	0
NCI-H2170	77	VEGF	8	0	0	0
HCT-116	63	VEGF	8	0	0	0
NCI-H1563	65	VEGF	8	0	0	0
NCI-H1793	91	VEGF	8	0	0	0
MCF7	404	VEGF	8	0	0	0
HCC1395	183	VEGF	8	0	0	0
NCI-H1299	91	VEGF	8	0	0	0
COLO-205	123	VEGF	8	0	0	0
UM-UC-3	196	VEGF	8	0	0	0
NCI-SNU-16	26	VEGF	8	1	0.125	0.0384615384615385
BT-549	139	VEGF	8	0	0	0
NCI-H522	88	VEGF	8	0	0	0
Calu-6	87	VEGF	8	0	0	0
TCCSUP	193	VEGF	8	0	0	0
RT4	27	VEGF	8	1	0.125	0.037037037037037
CAL-120	158	VEGF	8	1	0.125	0.00632911392405063
DU-4475	125	VEGF	8	0	0	0
HCC1954	50	VEGF	8	0	0	0
NCI-H2085	90	VEGF	8	0	0	0
HCC1937	139	VEGF	8	0	0	0
LS-513	123	VEGF	8	0	0	0
HCC1569	52	VEGF	8	0	0	0
NCI-H1975	91	VEGF	8	0	0	0
MFM-223	138	VEGF	8	0	0	0
Calu-3	57	VEGF	8	0	0	0
BFTC-905	186	VEGF	8	0	0	0
J82	195	VEGF	8	0	0	0
C32	76	VEGF	8	0	0	0
T47D	365	VEGF	8	0	0	0
NCI-H2228	85	VEGF	8	0	0	0
A549	87	VEGF	8	0	0	0
BT-474	435	VEGF	8	0	0	0
NCI-H3122	70	VEGF	8	0	0	0
MDA-MB-157	190	VEGF	8	0	0	0
SW900	87	VEGF	8	0	0	0
UACC-812	340	VEGF	8	0	0	0
KU-19-19	68	VEGF	8	0	0	0
BT-20	192	VEGF	8	0	0	0
MDA-MB-436	187	VEGF	8	0	0	0
RKO	63	VEGF	8	0	0	0
M14	129	VEGF	8	0	0	0
T-24	188	VEGF	8	0	0	0
NCI-H2291	89	VEGF	8	0	0	0
SW837	104	VEGF	8	0	0	0
MDA-MB-415	52	VEGF	8	0	0	0
VCaP	29	VEGF	8	0	0	0
MDA-MB-453	188	VEGF	8	0	0	0
HCC1143	136	VEGF	8	0	0	0
HCC70	180	VEGF	8	0	0	0
CAL-51	140	VEGF	8	0	0	0
22RV1	26	VEGF	8	0	0	0
HCC1806	140	VEGF	8	0	0	0
HT-1197	168	VEGF	8	0	0	0
KATOIII	27	SRC	184	0	0	0
Hs-578-T	127	SRC	184	0	0	0
CAMA-1	427	SRC	184	0	0	0
MDA-MB-361	451	SRC	184	0	0	0
NCI-H23	85	SRC	184	0	0	0
SW780	181	SRC	184	1	0.00543478260869565	0.00552486187845304
SW48	124	SRC	184	5	0.0271739130434783	0.0403225806451613
MDA-MB-175-VII	88	SRC	184	0	0	0
HT-1376	170	SRC	184	11	0.0597826086956522	0.0647058823529412
CAL-148	138	SRC	184	0	0	0
KMS-11	19	SRC	184	0	0	0
VM-CUB-1	128	SRC	184	8	0.0434782608695652	0.0625
DMS-114	110	SRC	184	0	0	0
SW948	95	SRC	184	5	0.0271739130434783	0.0526315789473684
HCC1187	189	SRC	184	0	0	0
NCI-H520	111	SRC	184	0	0	0
HCC38	137	SRC	184	0	0	0
MDA-MB-231	140	SRC	184	0	0	0
NCI-H226	79	SRC	184	0	0	0
SW620	106	SRC	184	2	0.0108695652173913	0.0188679245283019
HCC1500	375	SRC	184	0	0	0
MDA-MB-468	181	SRC	184	0	0	0
NCI-H358	91	SRC	184	0	0	0
HT-29	84	SRC	184	2	0.0108695652173913	0.0238095238095238
EVSA-T	35	SRC	184	0	0	0
647-V	191	SRC	184	19	0.103260869565217	0.0994764397905759
NCI-H747	110	SRC	184	5	0.0271739130434783	0.0454545454545455
NCI-H1437	89	SRC	184	0	0	0
HCC1428	136	SRC	184	0	0	0
NCI-H1703	118	SRC	184	0	0	0
HCC1419	262	SRC	184	0	0	0
NCI-H838	84	SRC	184	0	0	0
NCI-H2170	77	SRC	184	0	0	0
HCT-116	63	SRC	184	2	0.0108695652173913	0.0317460317460317
NCI-H1563	65	SRC	184	0	0	0
NCI-H1793	91	SRC	184	0	0	0
MCF7	404	SRC	184	0	0	0
HCC1395	183	SRC	184	0	0	0
NCI-H1299	91	SRC	184	0	0	0
COLO-205	123	SRC	184	5	0.0271739130434783	0.040650406504065
UM-UC-3	196	SRC	184	19	0.103260869565217	0.0969387755102041
NCI-SNU-16	26	SRC	184	0	0	0
BT-549	139	SRC	184	0	0	0
NCI-H522	88	SRC	184	0	0	0
Calu-6	87	SRC	184	0	0	0
TCCSUP	193	SRC	184	19	0.103260869565217	0.0984455958549223
RT4	27	SRC	184	0	0	0
CAL-120	158	SRC	184	0	0	0
DU-4475	125	SRC	184	0	0	0
HCC1954	50	SRC	184	0	0	0
NCI-H2085	90	SRC	184	0	0	0
HCC1937	139	SRC	184	0	0	0
LS-513	123	SRC	184	5	0.0271739130434783	0.040650406504065
HCC1569	52	SRC	184	0	0	0
NCI-H1975	91	SRC	184	0	0	0
MFM-223	138	SRC	184	0	0	0
Calu-3	57	SRC	184	0	0	0
BFTC-905	186	SRC	184	17	0.0923913043478261	0.0913978494623656
J82	195	SRC	184	19	0.103260869565217	0.0974358974358974
C32	76	SRC	184	2	0.0108695652173913	0.0263157894736842
T47D	365	SRC	184	0	0	0
NCI-H2228	85	SRC	184	0	0	0
A549	87	SRC	184	0	0	0
BT-474	435	SRC	184	0	0	0
NCI-H3122	70	SRC	184	0	0	0
MDA-MB-157	190	SRC	184	0	0	0
SW900	87	SRC	184	0	0	0
UACC-812	340	SRC	184	0	0	0
KU-19-19	68	SRC	184	1	0.00543478260869565	0.0147058823529412
BT-20	192	SRC	184	0	0	0
MDA-MB-436	187	SRC	184	0	0	0
RKO	63	SRC	184	1	0.00543478260869565	0.0158730158730159
M14	129	SRC	184	0	0	0
T-24	188	SRC	184	19	0.103260869565217	0.101063829787234
NCI-H2291	89	SRC	184	0	0	0
SW837	104	SRC	184	4	0.0217391304347826	0.0384615384615385
MDA-MB-415	52	SRC	184	0	0	0
VCaP	29	SRC	184	0	0	0
MDA-MB-453	188	SRC	184	0	0	0
HCC1143	136	SRC	184	0	0	0
HCC70	180	SRC	184	0	0	0
CAL-51	140	SRC	184	0	0	0
22RV1	26	SRC	184	0	0	0
HCC1806	140	SRC	184	0	0	0
HT-1197	168	SRC	184	13	0.0706521739130435	0.0773809523809524
KATOIII	27	PIP5K1	153	0	0	0
Hs-578-T	127	PIP5K1	153	6	0.0392156862745098	0.047244094488189
CAMA-1	427	PIP5K1	153	7	0.0457516339869281	0.0163934426229508
MDA-MB-361	451	PIP5K1	153	0	0	0
NCI-H23	85	PIP5K1	153	0	0	0
SW780	181	PIP5K1	153	0	0	0
SW48	124	PIP5K1	153	0	0	0
MDA-MB-175-VII	88	PIP5K1	153	0	0	0
HT-1376	170	PIP5K1	153	0	0	0
CAL-148	138	PIP5K1	153	7	0.0457516339869281	0.0507246376811594
KMS-11	19	PIP5K1	153	0	0	0
VM-CUB-1	128	PIP5K1	153	0	0	0
DMS-114	110	PIP5K1	153	0	0	0
SW948	95	PIP5K1	153	0	0	0
HCC1187	189	PIP5K1	153	7	0.0457516339869281	0.037037037037037
NCI-H520	111	PIP5K1	153	0	0	0
HCC38	137	PIP5K1	153	7	0.0457516339869281	0.0510948905109489
MDA-MB-231	140	PIP5K1	153	7	0.0457516339869281	0.05
NCI-H226	79	PIP5K1	153	0	0	0
SW620	106	PIP5K1	153	0	0	0
HCC1500	375	PIP5K1	153	0	0	0
MDA-MB-468	181	PIP5K1	153	7	0.0457516339869281	0.0386740331491713
NCI-H358	91	PIP5K1	153	0	0	0
HT-29	84	PIP5K1	153	0	0	0
EVSA-T	35	PIP5K1	153	0	0	0
647-V	191	PIP5K1	153	0	0	0
NCI-H747	110	PIP5K1	153	0	0	0
NCI-H1437	89	PIP5K1	153	0	0	0
HCC1428	136	PIP5K1	153	7	0.0457516339869281	0.0514705882352941
NCI-H1703	118	PIP5K1	153	0	0	0
HCC1419	262	PIP5K1	153	0	0	0
NCI-H838	84	PIP5K1	153	0	0	0
NCI-H2170	77	PIP5K1	153	0	0	0
HCT-116	63	PIP5K1	153	0	0	0
NCI-H1563	65	PIP5K1	153	0	0	0
NCI-H1793	91	PIP5K1	153	0	0	0
MCF7	404	PIP5K1	153	0	0	0
HCC1395	183	PIP5K1	153	7	0.0457516339869281	0.0382513661202186
NCI-H1299	91	PIP5K1	153	0	0	0
COLO-205	123	PIP5K1	153	0	0	0
UM-UC-3	196	PIP5K1	153	0	0	0
NCI-SNU-16	26	PIP5K1	153	0	0	0
BT-549	139	PIP5K1	153	7	0.0457516339869281	0.0503597122302158
NCI-H522	88	PIP5K1	153	0	0	0
Calu-6	87	PIP5K1	153	0	0	0
TCCSUP	193	PIP5K1	153	0	0	0
RT4	27	PIP5K1	153	0	0	0
CAL-120	158	PIP5K1	153	6	0.0392156862745098	0.0379746835443038
DU-4475	125	PIP5K1	153	4	0.0261437908496732	0.032
HCC1954	50	PIP5K1	153	0	0	0
NCI-H2085	90	PIP5K1	153	0	0	0
HCC1937	139	PIP5K1	153	7	0.0457516339869281	0.0503597122302158
LS-513	123	PIP5K1	153	0	0	0
HCC1569	52	PIP5K1	153	0	0	0
NCI-H1975	91	PIP5K1	153	0	0	0
MFM-223	138	PIP5K1	153	6	0.0392156862745098	0.0434782608695652
Calu-3	57	PIP5K1	153	0	0	0
BFTC-905	186	PIP5K1	153	0	0	0
J82	195	PIP5K1	153	0	0	0
C32	76	PIP5K1	153	0	0	0
T47D	365	PIP5K1	153	0	0	0
NCI-H2228	85	PIP5K1	153	0	0	0
A549	87	PIP5K1	153	0	0	0
BT-474	435	PIP5K1	153	0	0	0
NCI-H3122	70	PIP5K1	153	0	0	0
MDA-MB-157	190	PIP5K1	153	6	0.0392156862745098	0.0315789473684211
SW900	87	PIP5K1	153	0	0	0
UACC-812	340	PIP5K1	153	0	0	0
KU-19-19	68	PIP5K1	153	0	0	0
BT-20	192	PIP5K1	153	7	0.0457516339869281	0.0364583333333333
MDA-MB-436	187	PIP5K1	153	7	0.0457516339869281	0.0374331550802139
RKO	63	PIP5K1	153	0	0	0
M14	129	PIP5K1	153	7	0.0457516339869281	0.0542635658914729
T-24	188	PIP5K1	153	0	0	0
NCI-H2291	89	PIP5K1	153	0	0	0
SW837	104	PIP5K1	153	0	0	0
MDA-MB-415	52	PIP5K1	153	0	0	0
VCaP	29	PIP5K1	153	0	0	0
MDA-MB-453	188	PIP5K1	153	6	0.0392156862745098	0.0319148936170213
HCC1143	136	PIP5K1	153	7	0.0457516339869281	0.0514705882352941
HCC70	180	PIP5K1	153	7	0.0457516339869281	0.0388888888888889
CAL-51	140	PIP5K1	153	7	0.0457516339869281	0.05
22RV1	26	PIP5K1	153	0	0	0
HCC1806	140	PIP5K1	153	7	0.0457516339869281	0.05
HT-1197	168	PIP5K1	153	0	0	0
KATOIII	27	ATR_3	8	0	0	0
Hs-578-T	127	ATR_3	8	0	0	0
CAMA-1	427	ATR_3	8	0	0	0
MDA-MB-361	451	ATR_3	8	0	0	0
NCI-H23	85	ATR_3	8	0	0	0
SW780	181	ATR_3	8	0	0	0
SW48	124	ATR_3	8	1	0.125	0.00806451612903226
MDA-MB-175-VII	88	ATR_3	8	0	0	0
HT-1376	170	ATR_3	8	0	0	0
CAL-148	138	ATR_3	8	0	0	0
KMS-11	19	ATR_3	8	0	0	0
VM-CUB-1	128	ATR_3	8	0	0	0
DMS-114	110	ATR_3	8	0	0	0
SW948	95	ATR_3	8	1	0.125	0.0105263157894737
HCC1187	189	ATR_3	8	0	0	0
NCI-H520	111	ATR_3	8	0	0	0
HCC38	137	ATR_3	8	0	0	0
MDA-MB-231	140	ATR_3	8	0	0	0
NCI-H226	79	ATR_3	8	0	0	0
SW620	106	ATR_3	8	1	0.125	0.00943396226415094
HCC1500	375	ATR_3	8	0	0	0
MDA-MB-468	181	ATR_3	8	0	0	0
NCI-H358	91	ATR_3	8	0	0	0
HT-29	84	ATR_3	8	0	0	0
EVSA-T	35	ATR_3	8	0	0	0
647-V	191	ATR_3	8	0	0	0
NCI-H747	110	ATR_3	8	0	0	0
NCI-H1437	89	ATR_3	8	0	0	0
HCC1428	136	ATR_3	8	0	0	0
NCI-H1703	118	ATR_3	8	0	0	0
HCC1419	262	ATR_3	8	0	0	0
NCI-H838	84	ATR_3	8	0	0	0
NCI-H2170	77	ATR_3	8	0	0	0
HCT-116	63	ATR_3	8	0	0	0
NCI-H1563	65	ATR_3	8	0	0	0
NCI-H1793	91	ATR_3	8	0	0	0
MCF7	404	ATR_3	8	0	0	0
HCC1395	183	ATR_3	8	0	0	0
NCI-H1299	91	ATR_3	8	0	0	0
COLO-205	123	ATR_3	8	1	0.125	0.00813008130081301
UM-UC-3	196	ATR_3	8	0	0	0
NCI-SNU-16	26	ATR_3	8	0	0	0
BT-549	139	ATR_3	8	0	0	0
NCI-H522	88	ATR_3	8	0	0	0
Calu-6	87	ATR_3	8	0	0	0
TCCSUP	193	ATR_3	8	0	0	0
RT4	27	ATR_3	8	0	0	0
CAL-120	158	ATR_3	8	0	0	0
DU-4475	125	ATR_3	8	0	0	0
HCC1954	50	ATR_3	8	0	0	0
NCI-H2085	90	ATR_3	8	0	0	0
HCC1937	139	ATR_3	8	0	0	0
LS-513	123	ATR_3	8	1	0.125	0.00813008130081301
HCC1569	52	ATR_3	8	0	0	0
NCI-H1975	91	ATR_3	8	0	0	0
MFM-223	138	ATR_3	8	0	0	0
Calu-3	57	ATR_3	8	0	0	0
BFTC-905	186	ATR_3	8	0	0	0
J82	195	ATR_3	8	0	0	0
C32	76	ATR_3	8	1	0.125	0.0131578947368421
T47D	365	ATR_3	8	0	0	0
NCI-H2228	85	ATR_3	8	0	0	0
A549	87	ATR_3	8	0	0	0
BT-474	435	ATR_3	8	0	0	0
NCI-H3122	70	ATR_3	8	0	0	0
MDA-MB-157	190	ATR_3	8	0	0	0
SW900	87	ATR_3	8	0	0	0
UACC-812	340	ATR_3	8	0	0	0
KU-19-19	68	ATR_3	8	0	0	0
BT-20	192	ATR_3	8	0	0	0
MDA-MB-436	187	ATR_3	8	0	0	0
RKO	63	ATR_3	8	1	0.125	0.0158730158730159
M14	129	ATR_3	8	0	0	0
T-24	188	ATR_3	8	0	0	0
